Description,Size,Lectures,Practicals,Tutorials,L-Duration,P-Duration,T-Duration
DIGITAL SYSTEMS PROJECT,,,,,,,
Module Practical Resources,,,,,,,
EMBEDDED SYSTEMS DEVELOPMENT,Computer Lab,PHAROS PC/Printing PC,PHAROS PC/Printing PC,PHAROS PC/Printing PC,Games Lab,Technical Computing (GNU/LINUX),
ENTERPRISE SYSTEMS DEVELOPMENT,Visualiser,,,,,,
COMPUTER AND NETWORK SYSTEMS,ECC and HP rooms,GPT2 + Science rooms,,,,,
ENTREPRENEURIAL SKILLS,Laboratory,Digital Projector,GPT2 + Science rooms,,,,
PRINCIPLES OF COMPUTING,Studio,GPT2 + Science rooms,Glass or White Board,Laboratory,Black Out,Group Work room,
WEB PROGRAMMING,Technology Enhanced Active Learning,Piano,General Purpose Teaching Room,Digital Projector,,,
INTELLIGENT SYSTEMS,Studio,GPT + bookable specialist rooms,Computer Lab,,,,
OBJECT-ORIENTED SYSTEMS DEVELOPMENT,ECC and HP rooms,,,,,,
INTRODUCTION TO OO SYSTEMS DEVELOPMENT,ECC and HP rooms,Music Studios & Labs,,,,,
FORENSIC COMPUTING PRACTICE,Large rooms 39+,Large Screen TV,Black Out,GPT2 + Science rooms,Music Studios & Labs,,
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,Computer Lab,GPT + bookable specialist rooms,PHAROS PC/Printing PC,Games Lab,,,
SECURE EMBEDDED SYSTEMS,GPT2 + Science rooms,Group Work room,PC Lab,Visualiser,Laboratory,GPT + bookable specialist rooms,
SECURITY DATA ANALYTICS,Visualiser,ECC and HP rooms,PC Lab (Comp Sci),General Purpose Teaching Room,Lecture Capture Rooms,Studio,
PROGRAMMING IN C,Large rooms 39+,,,,,,
PROGRAMMING IN C++,Lecture Capture Facility,Flat Teaching Rooms,Technology Enhanced Active Learning,Studio,Digital Projector,Flat Teaching Rooms,
BUILDING AND PORTING EMBEDDED OPERATING SYSTEMS,Audio Booths,PC Lab (Comp Sci),Computer Lab,Large rooms 39+,PC Lab (Comp Sci),,
SECURITY AND FORENSIC TOOLS,Voting System,PC Lab,Lecture Capture Facility,ECC and HP rooms,,,
C++ DEVELOPMENT,Glass or White Board,Flat Teaching Rooms,Audio Booths,Group Work room,PC Lab,Black Out,
SOFTWARE ENGINEERING,Visualiser,GPT + bookable specialist rooms,Games Lab,ECC and HP rooms,Technical Computing (GNU/LINUX),,
SECURE COMPUTER NETWORKS,PC Lab (Comp Sci),,,,,,
REQUIREMENTS ENGINEERING,Laboratory,Creative Technology Lab,Staff PC,Technical Computing (GNU/LINUX),Music Studios & Labs,PC Lab,
COMPUTER CRIME AND DIGITAL EVIDENCE,Large rooms 39+,Music Studios & Labs,,,,,
INTEGRATED CASE STUDIES,Computer Lab,Creative Technology Lab,WIFI,Lectern,PC Lab (Comp Sci),,
SECURITY MANAGEMENT IN PRACTICE,Technology Enhanced Active Learning,WIFI,Black Out,ECC and HP rooms,,,
CRYPTOGRAPHY,Games Lab,Laboratory,Technical Computing (GNU/LINUX),,,,
INTRODUCTION TO DATABASES,PC Lab (Comp Sci),Lectern,PC Lab,Lectern,,,
ADVANCED DATABASES,DVD Player,Voting System,DVD Player,Games Lab,ECC and HP rooms,,
INTERNET OF THINGS,Lecture Capture Facility,,,,,,
DESIGN AND ANALYSIS OF DATA STRUCTURES AND ALGORITHMS,Visualiser,PHAROS PC/Printing PC,DVD Player,General Purpose Teaching Room,,,
MOBILE AND EMBEDDED DEVICES,Staff PC,General Purpose Teaching Room,Lecture Capture Rooms,,,,
OPERATING SYSTEMS,PC Lab (Comp Sci),Voting System,Technology Enhanced Active Learning,Lecture Capture Rooms,Piano,Lecture Capture Rooms,
DESIGNING AND DEVELOPING DEVICE DRIVERS,GPT2 + Science rooms,,,,,,
BIOCOMPUTATION,General Purpose Teaching Room,,,,,,
DIGITAL SYSTEMS PROJECT,Staff PC,General Purpose Teaching Room,Voting System,Lectern,,,
Module Tutorial Resources,,,,,,,
EMBEDDED SYSTEMS DEVELOPMENT,Glass or White Board,PC Lab,Music Studios & Labs,,,,
ENTERPRISE SYSTEMS DEVELOPMENT,Staff PC,ECC and HP rooms,ECC and HP rooms,,,,
COMPUTER AND NETWORK SYSTEMS,Visualiser,Digital Projector,Flat Teaching Rooms,Visualiser,Digital Projector,Visualiser,
ENTREPRENEURIAL SKILLS,PC Lab,Flat Teaching Rooms,,,,,
PRINCIPLES OF COMPUTING,Black Out,Large rooms 39+,Laboratory,Digital Projector,Computer Lab,,
WEB PROGRAMMING,Creative Technology Lab,Glass or White Board,,,,,
INTELLIGENT SYSTEMS,Specialist spaces not covered by other type,Specialist spaces not covered by other type,Visualiser,Studio,,,
OBJECT-ORIENTED SYSTEMS DEVELOPMENT,Music Studios & Labs,GPT + bookable specialist rooms,,,,,
INTRODUCTION TO OO SYSTEMS DEVELOPMENT,Digital Projector,Creative Technology Lab,Staff PC,General Purpose Teaching Room,Visualiser,Black Out,
FORENSIC COMPUTING PRACTICE,DVD Player,,,,,,
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,Glass or White Board,Staff PC,Group Work room,,,,
SECURE EMBEDDED SYSTEMS,Computer Lab,Lecture Capture Facility,Large Screen TV,WIFI,Audio Booths,General Purpose Teaching Room,
SECURITY DATA ANALYTICS,GPT + bookable specialist rooms,Lecture Capture Facility,Voting System,Studio,DVD Player,Technical Computing (GNU/LINUX),
PROGRAMMING IN C,Technology Enhanced Active Learning,Piano,Lectern,Glass or White Board,Studio,,
PROGRAMMING IN C++,Lectern,PC Lab (Comp Sci),Specialist spaces not covered by other type,Large rooms 39+,,,
BUILDING AND PORTING EMBEDDED OPERATING SYSTEMS,Visualiser,Black Out,Creative Technology Lab,,,,
SECURITY AND FORENSIC TOOLS,Computer Lab,Digital Projector,Technology Enhanced Active Learning,Laboratory,Large rooms 39+,Large Screen TV,
C++ DEVELOPMENT,Lectern,Audio Booths,,,,,
SOFTWARE ENGINEERING,Digital Projector,,,,,,
SECURE COMPUTER NETWORKS,Staff PC,Voting System,PC Lab,Flat Teaching Rooms,Voting System,,
REQUIREMENTS ENGINEERING,Music Studios & Labs,PC Lab,Black Out,Lectern,Audio Booths,,
COMPUTER CRIME AND DIGITAL EVIDENCE,Group Work room,Digital Projector,PC Lab (Comp Sci),Digital Projector,Glass or White Board,,
INTEGRATED CASE STUDIES,Specialist spaces not covered by other type,Studio,Specialist spaces not covered by other type,PC Lab (Comp Sci),,,
SECURITY MANAGEMENT IN PRACTICE,Visualiser,ECC and HP rooms,Music Studios & Labs,Black Out,,,
CRYPTOGRAPHY,General Purpose Teaching Room,DVD Player,Laboratory,Lecture Capture Rooms,GPT + bookable specialist rooms,,
INTRODUCTION TO DATABASES,Studio,PHAROS PC/Printing PC,,,,,
ADVANCED DATABASES,Music Studios & Labs,WIFI,,,,,
INTERNET OF THINGS,Group Work room,,,,,,
DESIGN AND ANALYSIS OF DATA STRUCTURES AND ALGORITHMS,Large Screen TV,Large Screen TV,Large rooms 39+,,,,
MOBILE AND EMBEDDED DEVICES,Staff PC,Technology Enhanced Active Learning,,,,,
OPERATING SYSTEMS,Digital Projector,Large Screen TV,Voting System,Technology Enhanced Active Learning,ECC and HP rooms,Laboratory,
DESIGNING AND DEVELOPING DEVICE DRIVERS,Digital Projector,DVD Player,,,,,
BIOCOMPUTATION,PHAROS PC/Printing PC,General Purpose Teaching Room,DVD Player,GPT2 + Science rooms,,,
DIGITAL SYSTEMS PROJECT,Visualiser,,,,,,
